service_id,date,exception_type
12773287,20190714,1
12773287,20190715,1
12773287,20190721,1
12773288,20190601,1
12773288,20190706,1
12773288,20190713,1
12773285,20190226,1
12773285,20190227,1
12773285,20190228,1
12773285,20190301,1
12773285,20190305,1
12773285,20190306,1
12773285,20190307,1
12773285,20190308,1
12773285,20190424,1
12773285,20190425,1
12773285,20190426,1
12773285,20190430,1
12773285,20190503,1
12773285,20190604,1
12773285,20190605,1
12773285,20190606,1
12773285,20190607,1
12773285,20190612,1
12773285,20190613,1
12773285,20190614,1
12773285,20190618,1
12773285,20190619,1
12773285,20190620,1
12773285,20190621,1
12773285,20190625,1
12773285,20190626,1
12773285,20190627,1
12773285,20190628,1
12773286,20190127,1
12773286,20190203,1
12773286,20190210,1
12773286,20190217,1
12773286,20190224,1
12773286,20190303,1
12773286,20190310,1
12773286,20190317,1
12773286,20190324,1
12773286,20190331,1
12773286,20190407,1
12773286,20190414,1
12773286,20190421,1
12773286,20190428,1
12773286,20190505,1
12773286,20190512,1
12773286,20190519,1
12773286,20190526,1
12773286,20190602,1
12773286,20190609,1
12773286,20190616,1
12773286,20190623,1
12773286,20190630,1
12773289,20190126,1
12773289,20190202,1
12773289,20190209,1
12773289,20190216,1
12773289,20190223,1
12773289,20190316,1
12773289,20190323,1
12773289,20190330,1
12773289,20190406,1
12773289,20190413,1
12773289,20190420,1
12773289,20190508,1
12773289,20190511,1
12773289,20190518,1
12773289,20190525,1
12773289,20190530,1
12773280,20190708,1
12773284,20190702,1
12773284,20190703,1
12773284,20190704,1
12773284,20190705,1
12773284,20190709,1
12773284,20190710,1
12773284,20190711,1
12773284,20190712,1
12773283,20190716,1
12773283,20190717,1
12773283,20190718,1
12773283,20190719,1
12773282,20190622,1
2773278,20190127,1
2773278,20190203,1
2773278,20190210,1
2773278,20190217,1
2773278,20190224,1
2773278,20190303,1
2773278,20190310,1
2773278,20190317,1
2773278,20190324,1
2773278,20190331,1
2773278,20190407,1
2773278,20190414,1
2773278,20190422,1
2773278,20190428,1
2773278,20190501,1
2773278,20190505,1
2773278,20190508,1
2773278,20190512,1
2773278,20190519,1
2773278,20190526,1
2773278,20190530,1
2773278,20190602,1
2773278,20190610,1
2773278,20190616,1
2773278,20190623,1
2773278,20190630,1
12773281,20190123,1
12773281,20190124,1
12773281,20190125,1
12773281,20190129,1
12773281,20190130,1
12773281,20190131,1
12773281,20190201,1
12773281,20190205,1
12773281,20190206,1
12773281,20190207,1
12773281,20190208,1
12773281,20190212,1
12773281,20190213,1
12773281,20190214,1
12773281,20190215,1
12773281,20190219,1
12773281,20190220,1
12773281,20190221,1
12773281,20190222,1
12773281,20190312,1
12773281,20190313,1
12773281,20190314,1
12773281,20190315,1
12773281,20190319,1
12773281,20190320,1
12773281,20190321,1
12773281,20190322,1
12773281,20190326,1
12773281,20190327,1
12773281,20190328,1
12773281,20190329,1
12773281,20190402,1
12773281,20190403,1
12773281,20190404,1
12773281,20190405,1
12773281,20190409,1
12773281,20190410,1
12773281,20190411,1
12773281,20190412,1
12773281,20190416,1
12773281,20190417,1
12773281,20190418,1
12773281,20190419,1
12773281,20190507,1
12773281,20190510,1
12773281,20190514,1
12773281,20190515,1
12773281,20190516,1
12773281,20190517,1
12773281,20190521,1
12773281,20190522,1
12773281,20190523,1
12773281,20190524,1
12773281,20190528,1
12773281,20190529,1
