route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
1577987,2773278,10027732781955155,101,101,0,
1577987,2773278,10127732781955155,101,101,0,
1577987,2773278,10227732781955155,101,101,0,
1577987,2773278,1027732781955155,101,101,0,
1577987,2773278,10327732781955155,101,101,0,
1577987,2773278,10427732781955155,101,101,0,
1577987,2773278,10527732781955155,101,101,0,
1577987,2773278,10627732781955155,101,101,0,
1577987,2773278,10727732781955155,101,101,0,
1577987,2773278,10827732781955155,101,101,0,
1577987,2773278,10927732781955155,101,101,0,
1577987,2773278,11027732781955155,101,101,0,
1577987,2773278,11127732781955155,101,101,0,
1577987,2773278,11227732781955155,101,101,0,
1577987,2773278,1127732781955155,101,101,0,
1577987,2773278,11327732781955155,101,101,0,
1577987,2773278,11427732781955155,101,101,0,
1577987,2773278,11527732781955155,101,101,0,
1577987,2773278,11627732781955155,101,101,0,
1577987,2773278,11727732781955155,101,101,0,
1577987,2773278,11827732781955155,101,101,0,
1577987,2773278,11927732781955155,101,101,0,
1577987,2773278,12027732781955155,101,101,0,
1577987,2773278,12127732781955155,101,101,0,
1577987,2773278,12227732781955155,101,101,0,
1577987,2773278,1227732781955155,101,101,0,
1577987,2773278,12327732781955155,101,101,0,
1577987,2773278,12427732781955155,101,101,0,
1577987,2773278,12527732781955155,101,101,0,
1577987,2773278,12627732781955155,101,101,0,
1577987,2773278,12727732781955155,101,101,0,
1577987,2773278,127732781955155,101,101,0,
1577987,2773278,12827732781955155,101,101,0,
1577987,2773278,12927732781955155,101,101,0,
1577987,2773278,13027732781955155,101,101,0,
1577987,2773278,13127732781955155,101,101,0,
1577987,2773278,13227732781955155,101,101,0,
1577987,2773278,1327732781955155,101,101,0,
1577987,2773278,13327732781955155,101,101,0,
1577987,2773278,13427732781955155,101,101,0,
1577987,2773278,13527732781955155,101,101,0,
1577987,2773278,13627732781955155,101,101,0,
1577987,2773278,13727732781955155,101,101,0,
1577987,2773278,13827732781955155,101,101,0,
1577987,2773278,13927732781955155,101,101,0,
1577987,2773278,14027732781955155,101,101,0,
1577987,2773278,14127732781955155,101,101,0,
1577987,2773278,14227732781955155,101,101,0,
1577987,2773278,1427732781955155,101,101,0,
1577987,2773278,14327732781955155,101,101,0,
1577987,2773278,14427732781955155,101,101,0,
1577987,2773278,14527732781955155,101,101,0,
1577987,2773278,14627732781955155,101,101,0,
1577987,2773278,14727732781955155,101,101,0,
1577987,2773278,14827732781955155,101,101,0,
1577987,2773278,14927732781955155,101,101,0,
1577987,2773278,15027732781955155,101,101,0,
1577987,2773278,15127732781955155,101,101,0,
1577987,2773278,15227732781955155,101,101,0,
1577987,2773278,1527732781955155,101,101,0,
1577987,2773278,15327732781955155,101,101,0,
1577987,2773278,15427732781955155,101,101,0,
1577987,2773278,15527732781955155,101,101,0,
1577987,2773278,15627732781955155,101,101,0,
1577987,2773278,15727732781955155,101,101,0,
1577987,2773278,15827732781955155,101,101,0,
1577987,2773278,15927732781955155,101,101,0,
1577987,2773278,16027732781955155,101,101,0,
1577987,2773278,16127732781955155,101,101,0,
1577987,2773278,16227732781955155,101,101,0,
1577987,2773278,1627732781955155,101,101,0,
1577987,2773278,16327732781955155,101,101,0,
1577987,2773278,16427732781955155,101,101,0,
1577987,2773278,16527732781955155,101,101,0,
1577987,2773278,16627732781955155,101,101,0,
1577987,2773278,16727732781955155,101,101,0,
1577987,2773278,16827732781955155,101,101,0,
1577987,2773278,16927732781955155,101,101,0,
1577987,2773278,17027732781955155,101,101,0,
1577987,2773278,17127732781955155,101,101,0,
1577987,2773278,17227732781955155,101,101,0,
1577987,2773278,1727732781955155,101,101,0,
1577987,2773278,17327732781955155,101,101,0,
1577987,2773278,17427732781955155,101,101,0,
1577987,2773278,17527732781955155,101,101,0,
1577987,2773278,17627732781955155,101,101,0,
1577987,2773278,17727732781955155,101,101,0,
1577987,2773278,17827732781955155,101,101,0,
1577987,2773278,17927732781955155,101,101,0,
1577987,2773278,18027732781955155,101,101,0,
1577987,2773278,18127732781955155,101,101,0,
1577987,2773278,18227732781955155,101,101,0,
1577987,2773278,1827732781955155,101,101,0,
